"","expr","time","fun_name"
"338","R",37169,"baUtility"
"339","R",37660,"baUtility"
"340","Rcpp",9447,"baUtility"
"341","Rcpp",8366,"baUtility"
"342","Rcpp",8356,"baUtility"
"343","R",38182,"baUtility"
"344","R",37050,"baUtility"
"345","R",36789,"baUtility"
"346","Rcpp",9298,"baUtility"
"347","Rcpp",8386,"baUtility"
"348","Rcpp",8406,"baUtility"
"349","Rcpp",8195,"baUtility"
"350","R",38292,"baUtility"
"351","R",37381,"baUtility"
"352","R",36799,"baUtility"
"353","R",36559,"baUtility"
"354","Rcpp",9368,"baUtility"
"355","R",37701,"baUtility"
"356","R",36839,"baUtility"
"357","R",36659,"baUtility"
"358","R",36759,"baUtility"
"359","R",36449,"baUtility"
"360","R",36739,"baUtility"
"361","Rcpp",9809,"baUtility"
"362","R",37540,"baUtility"
"363","Rcpp",8876,"baUtility"
"364","Rcpp",8717,"baUtility"
"365","Rcpp",8165,"baUtility"
"366","Rcpp",8375,"baUtility"
"367","R",43712,"baUtility"
"368","R",36869,"baUtility"
"369","Rcpp",9508,"baUtility"
"370","R",37771,"baUtility"
"371","Rcpp",8797,"baUtility"
"372","Rcpp",8536,"baUtility"
"373","R",37771,"baUtility"
"374","Rcpp",8867,"baUtility"
"375","Rcpp",8556,"baUtility"
"376","Rcpp",8727,"baUtility"
"377","Rcpp",8235,"baUtility"
"378","Rcpp",8616,"baUtility"
"379","Rcpp",8175,"baUtility"
"380","R",38552,"baUtility"
"381","Rcpp",8656,"baUtility"
"382","R",37490,"baUtility"
"383","R",36509,"baUtility"
"384","Rcpp",9107,"baUtility"
"385","R",37691,"baUtility"
"386","Rcpp",9268,"baUtility"
"387","R",37059,"baUtility"
"388","Rcpp",8826,"baUtility"
"389","Rcpp",8617,"baUtility"
"390","R",37691,"baUtility"
"391","Rcpp",8586,"baUtility"
"392","R",37681,"baUtility"
"393","R",37310,"baUtility"
"394","Rcpp",9167,"baUtility"
"395","R",37620,"baUtility"
"396","Rcpp",8847,"baUtility"
"397","R",37010,"baUtility"
"398","R",36569,"baUtility"
"399","Rcpp",9207,"baUtility"
"400","Rcpp",8436,"baUtility"
"401","R",37351,"baUtility"
"402","Rcpp",8806,"baUtility"
"403","R",37690,"baUtility"
"404","R",36860,"baUtility"
"405","Rcpp",9087,"baUtility"
"406","Rcpp",8316,"baUtility"
"407","Rcpp",8175,"baUtility"
"408","R",37691,"baUtility"
"409","R",36840,"baUtility"
"410","Rcpp",9207,"baUtility"
"411","Rcpp",8496,"baUtility"
"412","R",42651,"baUtility"
"413","R",36919,"baUtility"
"414","Rcpp",9388,"baUtility"
"415","R",36899,"baUtility"
"416","Rcpp",8517,"baUtility"
"417","Rcpp",8586,"baUtility"
"418","Rcpp",8085,"baUtility"
"419","R",37320,"baUtility"
"420","Rcpp",8926,"baUtility"
"421","R",37290,"baUtility"
"422","R",36769,"baUtility"
"423","Rcpp",8957,"baUtility"
"424","R",36849,"baUtility"
"425","R",37040,"baUtility"
"426","Rcpp",9177,"baUtility"
"427","Rcpp",8185,"baUtility"
"428","Rcpp",8366,"baUtility"
"429","R",37531,"baUtility"
"430","Rcpp",8536,"baUtility"
"431","R",37661,"baUtility"
"432","R",37160,"baUtility"
"433","R",37280,"baUtility"
"434","R",37040,"baUtility"
"435","Rcpp",9458,"baUtility"
"436","R",37731,"baUtility"
"437","Rcpp",8797,"baUtility"
"438","Rcpp",8666,"baUtility"
"439","R",37541,"baUtility"
"440","R",37019,"baUtility"
"441","R",37630,"baUtility"
"442","Rcpp",9258,"baUtility"
"443","Rcpp",8576,"baUtility"
"444","R",37972,"baUtility"
"445","R",36989,"baUtility"
"446","R",36960,"baUtility"
"447","R",36188,"baUtility"
"448","R",36489,"baUtility"
"449","Rcpp",9448,"baUtility"
"450","R",37009,"baUtility"
"451","R",42710,"baUtility"
"452","R",37050,"baUtility"
"453","R",36398,"baUtility"
"454","Rcpp",9719,"baUtility"
"455","R",37340,"baUtility"
"456","R",36639,"baUtility"
"457","R",36409,"baUtility"
"458","Rcpp",9147,"baUtility"
"459","Rcpp",8957,"baUtility"
"460","Rcpp",8055,"baUtility"
"461","R",37270,"baUtility"
"462","Rcpp",9307,"baUtility"
"463","Rcpp",8336,"baUtility"
"464","R",37561,"baUtility"
"465","Rcpp",9107,"baUtility"
"466","Rcpp",8506,"baUtility"
"467","Rcpp",8066,"baUtility"
"468","Rcpp",8155,"baUtility"
"469","R",37911,"baUtility"
"470","R",36869,"baUtility"
"471","Rcpp",9558,"baUtility"
"472","R",37450,"baUtility"
"473","Rcpp",8616,"baUtility"
"474","R",36408,"baUtility"
"475","R",36949,"baUtility"
"476","R",36739,"baUtility"
"477","Rcpp",9288,"baUtility"
"478","R",36799,"baUtility"
"479","R",37180,"baUtility"
"480","R",37030,"baUtility"
"481","R",37430,"baUtility"
"482","R",36618,"baUtility"
"483","Rcpp",9457,"baUtility"
"484","R",37551,"baUtility"
"485","Rcpp",8666,"baUtility"
"486","R",38141,"baUtility"
"487","R",37230,"baUtility"
"488","Rcpp",9387,"baUtility"
"489","R",37421,"baUtility"
"490","Rcpp",8696,"baUtility"
"491","Rcpp",13556,"baUtility"
"492","Rcpp",8666,"baUtility"
"493","R",38702,"baUtility"
"494","R",37421,"baUtility"
"495","R",37160,"baUtility"
"496","R",36448,"baUtility"
"497","Rcpp",9478,"baUtility"
"498","R",37561,"baUtility"
"499","R",36769,"baUtility"
"500","R",36890,"baUtility"
"501","Rcpp",9448,"baUtility"
"502","Rcpp",8586,"baUtility"
"503","R",37110,"baUtility"
"504","R",36559,"baUtility"
"505","Rcpp",8987,"baUtility"
"506","R",37230,"baUtility"
"507","Rcpp",8686,"baUtility"
"508","R",37190,"baUtility"
"509","Rcpp",8707,"baUtility"
"510","Rcpp",8256,"baUtility"
"511","Rcpp",8426,"baUtility"
"512","R",37671,"baUtility"
"513","Rcpp",8846,"baUtility"
"514","R",37630,"baUtility"
"515","R",36800,"baUtility"
"516","Rcpp",9347,"baUtility"
"517","Rcpp",8325,"baUtility"
"518","R",37290,"baUtility"
"519","Rcpp",8726,"baUtility"
"520","Rcpp",8777,"baUtility"
"521","Rcpp",8356,"baUtility"
"522","Rcpp",8205,"baUtility"
"523","Rcpp",8386,"baUtility"
"524","Rcpp",8426,"baUtility"
"525","Rcpp",8476,"baUtility"
"526","R",39154,"baUtility"
"527","R",37000,"baUtility"
"528","R",36749,"baUtility"
"529","R",36268,"baUtility"
"530","Rcpp",9168,"baUtility"
"531","R",37420,"baUtility"
"532","Rcpp",8496,"baUtility"
"533","Rcpp",8116,"baUtility"
"534","R",38131,"baUtility"
"535","Rcpp",8906,"baUtility"
"536","Rcpp",19105,"baUtility"
"537","R",39313,"baUtility"
"538","Rcpp",8736,"baUtility"
"539","Rcpp",8256,"baUtility"
"540","R",37480,"baUtility"
"541","Rcpp",8636,"baUtility"
"542","Rcpp",8205,"baUtility"
"543","Rcpp",8486,"baUtility"
"544","R",38452,"baUtility"
"545","Rcpp",8907,"baUtility"
"546","Rcpp",8947,"baUtility"
"547","R",38212,"baUtility"
"548","Rcpp",8746,"baUtility"
"549","Rcpp",8415,"baUtility"
"550","Rcpp",8325,"baUtility"
"551","Rcpp",8296,"baUtility"
"552","R",38232,"baUtility"
"553","Rcpp",9308,"baUtility"
"554","R",37240,"baUtility"
"555","Rcpp",8626,"baUtility"
"556","R",37811,"baUtility"
"557","Rcpp",8626,"baUtility"
"558","Rcpp",8827,"baUtility"
"559","R",38502,"baUtility"
"560","Rcpp",8797,"baUtility"
"561","R",37350,"baUtility"
"562","R",36809,"baUtility"
"563","R",36739,"baUtility"
"564","R",36548,"baUtility"
"565","Rcpp",9888,"baUtility"
"566","Rcpp",8276,"baUtility"
"567","Rcpp",8406,"baUtility"
