"","expr","time","fun_name"
"303","Rcpp",25958,"destinationAngle"
"304","Rcpp",19227,"destinationAngle"
"305","Rcpp",20779,"destinationAngle"
"306","R",608050,"destinationAngle"
"307","R",592932,"destinationAngle"
"308","R",601808,"destinationAngle"
"309","R",590808,"destinationAngle"
"310","Rcpp",26360,"destinationAngle"
"311","R",598041,"destinationAngle"
"312","R",593503,"destinationAngle"
"313","R",596037,"destinationAngle"
"314","Rcpp",28944,"destinationAngle"
"315","Rcpp",22593,"destinationAngle"
"316","R",602019,"destinationAngle"
"317","Rcpp",24707,"destinationAngle"
"318","R",612869,"destinationAngle"
"319","R",578024,"destinationAngle"
"320","Rcpp",22623,"destinationAngle"
"321","Rcpp",22092,"destinationAngle"
"322","Rcpp",21581,"destinationAngle"
"323","Rcpp",18264,"destinationAngle"
"324","Rcpp",21871,"destinationAngle"
"325","Rcpp",22082,"destinationAngle"
"326","R",607479,"destinationAngle"
"327","Rcpp",24906,"destinationAngle"
"328","R",604254,"destinationAngle"
"329","Rcpp",21811,"destinationAngle"
"330","Rcpp",21751,"destinationAngle"
"331","R",587692,"destinationAngle"
"332","Rcpp",24656,"destinationAngle"
"333","R",607670,"destinationAngle"
"334","Rcpp",23915,"destinationAngle"
"335","R",599344,"destinationAngle"
"336","R",602089,"destinationAngle"
"337","Rcpp",23154,"destinationAngle"
"338","R",609262,"destinationAngle"
"339","Rcpp",21991,"destinationAngle"
"340","Rcpp",22362,"destinationAngle"
"341","Rcpp",21300,"destinationAngle"
"342","R",610134,"destinationAngle"
"343","Rcpp",21781,"destinationAngle"
"344","R",648727,"destinationAngle"
"345","R",599715,"destinationAngle"
"346","R",588583,"destinationAngle"
"347","Rcpp",25337,"destinationAngle"
"348","R",604233,"destinationAngle"
"349","Rcpp",25478,"destinationAngle"
"350","Rcpp",21731,"destinationAngle"
"351","R",608812,"destinationAngle"
"352","Rcpp",24065,"destinationAngle"
"353","R",605445,"destinationAngle"
"354","Rcpp",21360,"destinationAngle"
"355","Rcpp",22001,"destinationAngle"
"356","Rcpp",21270,"destinationAngle"
"357","R",605184,"destinationAngle"
"358","R",595156,"destinationAngle"
"359","R",603172,"destinationAngle"
"360","Rcpp",23584,"destinationAngle"
"361","R",615003,"destinationAngle"
"362","Rcpp",21520,"destinationAngle"
"363","Rcpp",19958,"destinationAngle"
"364","Rcpp",20428,"destinationAngle"
"365","Rcpp",18485,"destinationAngle"
"366","R",590347,"destinationAngle"
"367","R",605345,"destinationAngle"
"368","Rcpp",22212,"destinationAngle"
"369","R",608812,"destinationAngle"
"370","R",596448,"destinationAngle"
"371","R",638607,"destinationAngle"
"372","Rcpp",24867,"destinationAngle"
"373","R",607049,"destinationAngle"
