"","expr","time","fun_name"
"403","Rcpp",4078,"dist"
"404","R",41238,"dist"
"405","R",41167,"dist"
"406","Rcpp",5200,"dist"
"407","R",40757,"dist"
"408","R",40897,"dist"
"409","R",40416,"dist"
"410","R",40766,"dist"
"411","Rcpp",5260,"dist"
"412","Rcpp",4299,"dist"
"413","R",41638,"dist"
"414","R",41338,"dist"
"415","R",41257,"dist"
"416","Rcpp",5591,"dist"
"417","R",43061,"dist"
"418","R",42179,"dist"
"419","Rcpp",5139,"dist"
"420","Rcpp",4499,"dist"
"421","Rcpp",4028,"dist"
"422","R",42760,"dist"
"423","R",47199,"dist"
"424","Rcpp",5390,"dist"
"425","Rcpp",4449,"dist"
"426","Rcpp",4528,"dist"
"427","Rcpp",4197,"dist"
"428","Rcpp",4178,"dist"
"429","R",43612,"dist"
"430","Rcpp",4879,"dist"
"431","R",41197,"dist"
"432","Rcpp",4668,"dist"
"433","Rcpp",4559,"dist"
"434","R",41739,"dist"
"435","R",41558,"dist"
"436","Rcpp",5039,"dist"
"437","Rcpp",4238,"dist"
"438","Rcpp",3987,"dist"
"439","R",41949,"dist"
"440","Rcpp",4619,"dist"
"441","Rcpp",4399,"dist"
"442","Rcpp",4007,"dist"
"443","R",42029,"dist"
"444","Rcpp",4629,"dist"
"445","R",41588,"dist"
"446","R",41608,"dist"
"447","Rcpp",4969,"dist"
"448","R",41508,"dist"
"449","R",41268,"dist"
"450","Rcpp",4899,"dist"
"451","Rcpp",4208,"dist"
"452","Rcpp",4007,"dist"
"453","R",42450,"dist"
"454","R",41809,"dist"
"455","R",41147,"dist"
"456","R",40947,"dist"
"457","Rcpp",5260,"dist"
"458","R",42230,"dist"
"459","Rcpp",4799,"dist"
"460","Rcpp",4108,"dist"
"461","R",41868,"dist"
"462","R",42219,"dist"
"463","Rcpp",5200,"dist"
"464","Rcpp",4148,"dist"
"465","R",42430,"dist"
"466","Rcpp",5370,"dist"
"467","R",43121,"dist"
"468","R",42169,"dist"
"469","Rcpp",4950,"dist"
"470","Rcpp",4488,"dist"
"471","Rcpp",3957,"dist"
"472","R",48531,"dist"
"473","Rcpp",4799,"dist"
"474","Rcpp",4588,"dist"
"475","R",42701,"dist"
"476","Rcpp",4739,"dist"
"477","Rcpp",4078,"dist"
"478","Rcpp",4398,"dist"
"479","Rcpp",4138,"dist"
"480","Rcpp",4158,"dist"
"481","R",42590,"dist"
"482","R",42219,"dist"
"483","Rcpp",5039,"dist"
"484","Rcpp",4138,"dist"
"485","R",42590,"dist"
"486","Rcpp",4629,"dist"
"487","R",42520,"dist"
"488","R",42670,"dist"
"489","R",41548,"dist"
"490","R",42319,"dist"
"491","Rcpp",5410,"dist"
"492","R",42109,"dist"
"493","Rcpp",4608,"dist"
"494","R",41948,"dist"
"495","Rcpp",4709,"dist"
"496","R",41067,"dist"
"497","R",40295,"dist"
"498","Rcpp",4980,"dist"
"499","R",41758,"dist"
"500","R",42419,"dist"
"501","Rcpp",5010,"dist"
"502","Rcpp",4178,"dist"
"503","R",43031,"dist"
"504","Rcpp",5009,"dist"
"505","R",42660,"dist"
"506","R",41267,"dist"
"507","Rcpp",5000,"dist"
"508","R",42410,"dist"
"509","Rcpp",4779,"dist"
"510","Rcpp",4058,"dist"
"511","Rcpp",4458,"dist"
"512","R",42610,"dist"
"513","R",42110,"dist"
"514","R",48000,"dist"
"515","Rcpp",5651,"dist"
"516","R",43531,"dist"
"517","Rcpp",4859,"dist"
"518","R",41157,"dist"
"519","Rcpp",4649,"dist"
"520","Rcpp",4048,"dist"
"521","R",41338,"dist"
"522","Rcpp",4629,"dist"
"523","Rcpp",4158,"dist"
"524","Rcpp",3837,"dist"
"525","R",41508,"dist"
"526","Rcpp",4759,"dist"
"527","R",41208,"dist"
"528","R",41267,"dist"
"529","Rcpp",4880,"dist"
"530","Rcpp",4047,"dist"
"531","Rcpp",3877,"dist"
"532","R",41147,"dist"
"533","R",40877,"dist"
"534","R",40907,"dist"
"535","R",41037,"dist"
"536","Rcpp",5571,"dist"
"537","Rcpp",4469,"dist"
"538","R",41708,"dist"
"539","Rcpp",4980,"dist"
"540","Rcpp",4438,"dist"
"541","R",41839,"dist"
"542","R",41287,"dist"
"543","R",40526,"dist"
"544","R",40686,"dist"
"545","Rcpp",5350,"dist"
"546","Rcpp",3987,"dist"
"547","Rcpp",4188,"dist"
"548","R",42881,"dist"
"549","R",41337,"dist"
"550","R",40526,"dist"
"551","Rcpp",5039,"dist"
"552","Rcpp",4067,"dist"
"553","R",41298,"dist"
"554","R",40907,"dist"
"555","R",40897,"dist"
"556","Rcpp",5070,"dist"
"557","R",47258,"dist"
"558","R",41217,"dist"
"559","Rcpp",5260,"dist"
"560","R",41608,"dist"
"561","Rcpp",4709,"dist"
"562","Rcpp",4188,"dist"
"563","Rcpp",4068,"dist"
"564","Rcpp",4008,"dist"
"565","Rcpp",4118,"dist"
"566","Rcpp",4108,"dist"
"567","Rcpp",3927,"dist"
"568","Rcpp",4078,"dist"
"569","R",41999,"dist"
"570","R",41478,"dist"
"571","Rcpp",4819,"dist"
"572","Rcpp",4137,"dist"
"573","R",41347,"dist"
"574","R",40857,"dist"
"575","Rcpp",4739,"dist"
"576","R",41308,"dist"
"577","Rcpp",4649,"dist"
"578","R",42219,"dist"
"579","R",40707,"dist"
"580","Rcpp",4799,"dist"
"581","R",41308,"dist"
"582","Rcpp",4879,"dist"
"583","R",41268,"dist"
"584","R",40676,"dist"
"585","R",40957,"dist"
"586","R",40727,"dist"
"587","R",40917,"dist"
"588","R",40806,"dist"
"589","R",40596,"dist"
"590","Rcpp",5771,"dist"
"591","R",41308,"dist"
"592","Rcpp",4729,"dist"
"593","R",41067,"dist"
"594","Rcpp",4799,"dist"
"595","Rcpp",4178,"dist"
"596","Rcpp",4038,"dist"
"597","Rcpp",4479,"dist"
"598","R",42620,"dist"
"599","R",46668,"dist"
"600","Rcpp",5310,"dist"
"601","Rcpp",4268,"dist"
"602","Rcpp",3928,"dist"
"603","Rcpp",4037,"dist"
"604","R",42330,"dist"
"605","Rcpp",4669,"dist"
"606","Rcpp",4308,"dist"
"607","Rcpp",4208,"dist"
"608","Rcpp",4077,"dist"
"609","R",42550,"dist"
"610","Rcpp",4589,"dist"
"611","Rcpp",4118,"dist"
"612","Rcpp",3938,"dist"
"613","Rcpp",3957,"dist"
"614","Rcpp",4379,"dist"
"615","Rcpp",3927,"dist"
"616","Rcpp",3838,"dist"
"617","R",42439,"dist"
"618","R",41237,"dist"
"619","Rcpp",5140,"dist"
"620","Rcpp",3978,"dist"
"621","R",41698,"dist"
"622","R",41258,"dist"
"623","R",40806,"dist"
"624","R",40617,"dist"
"625","R",40286,"dist"
"626","Rcpp",5600,"dist"
"627","Rcpp",4198,"dist"
"628","Rcpp",3907,"dist"
"629","Rcpp",3847,"dist"
"630","Rcpp",3938,"dist"
"631","R",42730,"dist"
"632","Rcpp",4559,"dist"
"633","R",41688,"dist"
"634","R",40806,"dist"
"635","Rcpp",4850,"dist"
"636","Rcpp",3977,"dist"
"637","R",41578,"dist"
"638","Rcpp",4749,"dist"
"639","R",41267,"dist"
"640","R",41218,"dist"
"641","R",42600,"dist"
"642","R",41568,"dist"
"643","R",41448,"dist"
"644","Rcpp",6061,"dist"
"645","Rcpp",4157,"dist"
"646","Rcpp",3907,"dist"
"647","R",42089,"dist"
"648","Rcpp",4769,"dist"
"649","R",41438,"dist"
"650","Rcpp",4589,"dist"
"651","Rcpp",4318,"dist"
"652","R",47980,"dist"
"653","Rcpp",4679,"dist"
"654","Rcpp",3907,"dist"
"655","Rcpp",4288,"dist"
"656","Rcpp",4248,"dist"
"657","Rcpp",3907,"dist"
"658","Rcpp",4198,"dist"
"659","R",42410,"dist"
"660","Rcpp",4539,"dist"
"661","Rcpp",4017,"dist"
"662","R",42810,"dist"
"663","Rcpp",4499,"dist"
"664","Rcpp",4388,"dist"
